#gb,brute_force_en,ML_1,ML_2
111_Sigma13_twist_high,0.717136,0.700490,0.798045
110_Sigma9_tilt_reconstructed,0.871977,0.848876,0.974532
111_Sigma13_tilt_high,0.738176,0.738182,0.781309
100_Sigma5_twist_high,0.938857,0.938624,1.030248
110_Sigma51_tilt_low,0.588978,0.588978,0.589091
111_Sigma3_twist_twin,0.000000,0.000000,0.000000
111_Sigma37_twist_low,0.554683,0.530687,0.656785
100_Sigma41_tilt_low,0.686632,0.684930,0.690104
110_Sigma9_twist_high,0.924598,0.923501,1.051733
111_Sigma37_tilt_low,0.643776,0.643877,0.675639
100_Sigma41_twist_low,0.794467,0.763488,0.853945
110_Sigma51_twist_low,0.884654,0.876400,1.001258
110_Sigma9_tilt_high,0.354492,0.354496,0.354503
100_Sigma5_tilt_high,0.540085,0.540085,0.705468
